marka,kategori,ebat,urun_kodu,desen,liste_fiyati,perakende_fiyati
LASSA,YAZ,195/50R15,218043,REVOLA,5069.0,5069.0
LASSA,4 MEVSIM,195/50R15,213148,MULTIWAYS 2,5329.0,5329.0
LASSA,YAZ,205/55R15,218414,IMPETUS REVO,9524.0,9524.0
LASSA,YAZ,195/55R15,218040,REVOLA,7281.0,7281.0
LASSA,4 MEVSIM,195/55R15,213139,MULTIWAYS 2,7611.0,7611.0
LASSA,YAZ,185/55R15,218038,REVOLA,6650.0,6650.0
LASSA,4 MEVSIM,185/55R15,213117,MULTIWAYS 2,6920.0,6920.0
LASSA,YAZ,205/60R15,218016,REVOLA,7504.0,7504.0
LASSA,4 MEVSIM,195/60R15,213112,MULTIWAYS 2,5963.0,5963.0
LASSA,YAZ,195/60R15,218007,REVOLA,5599.0,5599.0
LASSA,YAZ,185/60R15,218036,REVOLA,5396.0,5396.0
LASSA,4 MEVSIM,185/60R15,213107,MULTIWAYS 2,5668.0,5668.0
LASSA,YAZ,205/65R15,218017,REVOLA,8029.0,8029.0
LASSA,YAZ,195/65R15,218048,REVOLA,4820.0,4820.0
LASSA,YAZ,195/65R15,218027,REVOLA,4969.0,4969.0
LASSA,4 MEVSIM,195/65R15,213114,MULTIWAYS 2,5092.0,5092.0
LASSA,YAZ,185/65R15,218049,REVOLA,4839.0,4839.0
LASSA,YAZ,185/65R15,218006,REVOLA,4969.0,4969.0
LASSA,4 MEVSIM,185/65R15,213109,MULTIWAYS 2,5092.0,5092.0
LASSA,YAZ,175/65R15,214565,GREENWAYS,5523.0,5523.0
LASSA,4 MEVSIM,175/65R15,213146,MULTIWAYS 2,5737.0,5737.0
LASSA,YAZ,165/65R15,214517,GREENWAYS,4749.0,4749.0
LASSA,YAZ,185/55R14,214547,GREENWAYS,3838.0,3838.0
LASSA,YAZ,205/60R14,214514,GREENWAYS,4718.0,4718.0
LASSA,YAZ,185/60R14,214520,GREENWAYS,4688.0,4688.0
LASSA,4 MEVSIM,185/60R14,213106,MULTIWAYS 2,4950.0,4950.0
LASSA,YAZ,165/60R14,214542,GREENWAYS,5549.0,5549.0
LASSA,4 MEVSIM,185/65R14,213108,MULTIWAYS 2,4818.0,4818.0
LASSA,YAZ,185/65R14,214494,GREENWAYS,4535.0,4535.0
LASSA,YAZ,175/65R14,214493,GREENWAYS,4235.0,4235.0
LASSA,4 MEVSIM,175/65R14,213103,MULTIWAYS 2,4465.0,4465.0
LASSA,YAZ,175/65R14,214492,GREENWAYS,4342.0,4342.0
LASSA,YAZ,165/65R14,214549,GREENWAYS,4702.0,4702.0
LASSA,YAZ,155/65R14,214509,GREENWAYS,3673.0,3673.0
LASSA,4 MEVSIM,155/65R14,213104,MULTIWAYS 2,4049.0,4049.0
LASSA,YAZ,195/70R14,214605,GREENWAYS,7001.0,7001.0
LASSA,YAZ,185/70R14,214608,GREENWAYS,5345.0,5345.0
LASSA,YAZ,175/70R14,214606,GREENWAYS,4820.0,4820.0
LASSA,YAZ,175/70R14,214561,GREENWAYS,4943.0,4943.0
LASSA,4 MEVSIM,175/70R14,213105,MULTIWAYS 2,5178.0,5178.0
LASSA,YAZ,165/70R14,214490,GREENWAYS,4608.0,4608.0
LASSA,YAZ,165/70R14,214491,GREENWAYS,4709.0,4709.0
LASSA,4 MEVSIM,165/70R14,213101,MULTIWAYS 2,5157.0,5157.0
LASSA,YAZ,175/80R14,214604,GREENWAYS,5726.0,5726.0
LASSA,YAZ,165/65R13,214533,GREENWAYS,4632.0,4632.0
LASSA,YAZ,155/65R13,214531,GREENWAYS,3624.0,3624.0
LASSA,YAZ,185/70R13,214537,GREENWAYS,6200.0,6200.0
LASSA,YAZ,175/70R13,214607,GREENWAYS,3926.0,3926.0
LASSA,YAZ,165/70R13,214609,GREENWAYS,4305.0,4305.0
LASSA,YAZ,155/70R13,214539,GREENWAYS,4098.0,4098.0
LASSA,YAZ,165/80R13,214535,GREENWAYS,3887.0,3887.0
LASSA,YAZ,155/80R13,214603,GREENWAYS,4237.0,4237.0
LASSA,YAZ,295/35R21,212707,COMPETUS H/P 3,15062.0,15062.0
LASSA,YAZ,275/45R21,212716,COMPETUS H/P 3,17115.0,17115.0
LASSA,YAZ,275/40R20,212715,COMPETUS H/P 3,14523.0,14523.0
LASSA,YAZ,275/45R20,212702,COMPETUS H/P 3,16448.0,16448.0
LASSA,YAZ,255/45R20,212713,COMPETUS H/P 3,18469.0,18469.0
LASSA,YAZ,245/45R20,212711,COMPETUS H/P 3,15284.0,15284.0
LASSA,YAZ,265/50R20,216827,COMPETUS H/P 2,18996.0,18996.0
LASSA,YAZ,255/50R20,212714,COMPETUS H/P 3,15260.0,15260.0
LASSA,YAZ,255/55R20,216651,COMPETUS H/P 2,16280.0,16280.0
LASSA,YAZ,285/45R19,216812,COMPETUS H/P 2,14646.0,14646.0
LASSA,YAZ,275/45R19,216828,COMPETUS H/P 2,13093.0,13093.0
LASSA,YAZ,265/50R19,216801,COMPETUS H/P 2,14415.0,14415.0
LASSA,YAZ,245/45R19,217004,COMPETUS H/P 3,14015.0,14015.0
LASSA,YAZ,225/45R19,217020,COMPETUS H/P 3,13747.0,13747.0
LASSA,YAZ,255/50R19,217016,COMPETUS H/P 3,13021.0,13021.0
LASSA,YAZ,235/50R19,216703,COMPETUS H/P 2,11241.0,11241.0
LASSA,YAZ,235/50R19,216809,COMPETUS H/P 2,11345.0,11345.0
LASSA,YAZ,255/55R19,212704,COMPETUS H/P 3,11269.0,11269.0
LASSA,YAZ,235/55R19,217013,COMPETUS H/P 3,10990.0,10990.0
LASSA,YAZ,225/55R19,217003,COMPETUS H/P 3,9703.0,9703.0
LASSA,YAZ,205/55R19,212703,COMPETUS H/P 3,10575.0,10575.0
LASSA,YAZ,235/50R18,217005,COMPETUS H/P 3,10629.0,10629.0
LASSA,YAZ,225/50R18,217010,COMPETUS H/P 3,12592.0,12592.0
LASSA,YAZ,215/50R18,212717,COMPETUS H/P 3,9965.0,9965.0
LASSA,YAZ,255/55R18,212705,COMPETUS H/P 3,10123.0,10123.0
LASSA,YAZ,235/55R18,217012,COMPETUS H/P 3,9478.0,9478.0
LASSA,YAZ,225/55R18,217019,COMPETUS H/P 3,9556.0,9556.0
LASSA,4 MEVSIM,225/55R18,213145,MULTIWAYS 2,10332.0,10332.0
LASSA,YAZ,215/55R18,217009,COMPETUS H/P 3,10350.0,10350.0
LASSA,YAZ,265/60R18,216724,COMPETUS A/T 3,11534.0,11534.0
LASSA,YAZ,265/60R18,217018,COMPETUS H/P 3,11536.0,11536.0
LASSA,YAZ,255/60R18,216719,COMPETUS A/T 3,10289.0,10289.0
LASSA,YAZ,255/60R18,217017,COMPETUS H/P 3,10296.0,10296.0
LASSA,YAZ,235/60R18,217014,COMPETUS H/P 3,9869.0,9869.0
LASSA,YAZ,225/60R18,216702,COMPETUS H/P 2,9945.0,9945.0
LASSA,YAZ,225/60R18,216822,COMPETUS H/P,9945.0,9945.0
LASSA,YAZ,235/55R17,217007,COMPETUS H/P 3,9697.0,9697.0
LASSA,4 MEVSIM,235/55R17,213149,MULTIWAYS 2,9802.0,9802.0
LASSA,YAZ,235/60R17,216802,COMPETUS H/P 2,9186.0,9186.0
LASSA,YAZ,255/60R17,216740,COMPETUS H/P,10093.0,10093.0
LASSA,YAZ,225/60R17,217011,COMPETUS H/P 3,10611.0,10611.0
LASSA,YAZ,215/60R17,217006,COMPETUS H/P 3,8490.0,8490.0
LASSA,4 MEVSIM,215/60R17,213137,MULTIWAYS 2,9262.0,9262.0
LASSA,YAZ,265/65R17,216588,COMPETUS A/T 3,10935.0,10935.0
LASSA,YAZ,255/65R17,216721,COMPETUS A/T 3,9911.0,9911.0
LASSA,YAZ,245/65R17,216717,COMPETUS A/T 3,9927.0,9927.0
LASSA,YAZ,245/65R17,216813,COMPETUS H/P 2,9748.0,9748.0
LASSA,YAZ,235/65R17,216714,COMPETUS A/T 3,9034.0,9034.0
LASSA,4 MEVSIM,235/65R17,213606,MULTIWAYS 4*4,9512.0,9512.0
LASSA,YAZ,235/65R17,216411,COMPETUS H/L,8791.0,8791.0
LASSA,YAZ,235/65R17,217015,COMPETUS H/P 3,8969.0,8969.0
LASSA,4 MEVSIM,225/65R17,213603,MULTIWAYS 4*4,10216.0,10216.0
LASSA,YAZ,215/65R17,217008,COMPETUS H/P 3,8708.0,8708.0
LASSA,4 MEVSIM,235/60R16,213151,MULTIWAYS 2,7988.0,7988.0
LASSA,YAZ,235/60R16,212708,COMPETUS H/P 3,7325.0,7325.0
LASSA,YAZ,235/60R16,216161,COMPETUS H/L,7182.0,7182.0
LASSA,YAZ,255/65R16,216177,COMPETUS H/L,9079.0,9079.0
LASSA,YAZ,215/65R16,217001,COMPETUS H/P 3,6819.0,6819.0
LASSA,YAZ,215/65R16,216709,COMPETUS A/T 3,6821.0,6821.0
LASSA,4 MEVSIM,215/65R16,213138,MULTIWAYS 2,7149.0,7149.0
LASSA,YAZ,265/70R16,216726,COMPETUS A/T 3,10246.0,10246.0
LASSA,YAZ,265/70R16,216178,COMPETUS H/L,9912.0,9912.0
LASSA,YAZ,255/70R16,216723,COMPETUS A/T 3,9599.0,9599.0
LASSA,YAZ,245/70R16,216718,COMPETUS A/T 3,8800.0,8800.0
LASSA,YAZ,245/70R16,216173,COMPETUS H/L,8626.0,8626.0
LASSA,YAZ,235/70R16,216715,COMPETUS A/T 3,7655.0,7655.0
LASSA,YAZ,225/70R16,216713,COMPETUS A/T 3,8547.0,8547.0
LASSA,4 MEVSIM,215/70R16,213602,MULTIWAYS 4*4,7460.0,7460.0
LASSA,YAZ,215/70R16,216180,COMPETUS H/L,7613.0,7613.0
LASSA,YAZ,205/70R16,216707,COMPETUS A/T 3,7212.0,7212.0
LASSA,YAZ,265/70R15,216725,COMPETUS A/T 3,9228.0,9228.0
LASSA,YAZ,255/70R15,216722,COMPETUS A/T 3,10530.0,10530.0
LASSA,YAZ,205/70R15,216706,COMPETUS A/T 3,6882.0,6882.0
LASSA,YAZ,235/75R15,216716,COMPETUS A/T 3,7837.0,7837.0
LASSA,YAZ,205/80R16,216708,COMPETUS A/T 3,7384.0,7384.0
LASSA,YAZ,215/80R15,216712,COMPETUS A/T 3,7451.0,7451.0
LASSA,YAZ,195/80R15,216704,COMPETUS A/T 3,7101.0,7101.0
LASSA,4 MEVSIM,225/55R17,243363,MULTIWAYS-C 2,10764.0,10764.0
LASSA,YAZ,215/60R17,243745,TRANSWAY 3,11388.0,11388.0
LASSA,4 MEVSIM,215/60R17,243359,MULTIWAYS-C 2,10474.0,10474.0
LASSA,YAZ,215/60R16,243805,TRANSWAY 3,12055.0,12055.0
LASSA,YAZ,195/60R16,243779,TRANSWAY 3,9123.0,9123.0
LASSA,4 MEVSIM,195/60R16,242352,MULTIWAYS-C 2,9382.0,9382.0
LASSA,YAZ,285/65R16,243874,TRANSWAY,19339.0,19339.0
LASSA,4 MEVSIM,285/65R16,243097,MULTIWAYS-C,20205.0,20205.0
LASSA,YAZ,235/65R16,243537, TRANSWAY 3+,11274.0,11274.0
LASSA,YAZ,235/65R16,243437,TRANSWAY A/T,11422.0,11422.0
LASSA,YAZ,235/65R16,243693,TRANSWAY 2,11274.0,11274.0
LASSA,YAZ,235/65R16,243673,TRANSWAY 2,10415.0,10415.0
LASSA,YAZ,235/65R16,243670,TRANSWAY,10415.0,10415.0
LASSA,4 MEVSIM,235/65R16,243385,MULTIWAYS-C 2,11602.0,11602.0
LASSA,4 MEVSIM,235/65R16,243368,MULTIWAYS-C 2,12668.0,12668.0
LASSA,YAZ,225/65R16,243749,TRANSWAY 3,11556.0,11556.0
LASSA,4 MEVSIM,225/65R16,243364,MULTIWAYS-C 2,12209.0,12209.0
LASSA,YAZ,215/65R16,243747,TRANSWAY 3,10131.0,10131.0
LASSA,4 MEVSIM,215/65R16,243360,MULTIWAYS-C 2,10882.0,10882.0
LASSA,YAZ,205/65R16,243534, TRANSWAY 3+,9408.0,9408.0
LASSA,4 MEVSIM,205/65R16,243356,MULTIWAYS-C 2,10068.0,10068.0
LASSA,YAZ,195/65R16,243799,TRANSWAY 3,9825.0,9825.0
LASSA,YAZ,225/75R16,243539, TRANSWAY 3+,10489.0,10489.0
LASSA,YAZ,225/75R16,243435,TRANSWAY 2,10489.0,10489.0
LASSA,4 MEVSIM,225/75R16,243366,MULTIWAYS-C 2,10099.0,10099.0
LASSA,YAZ,215/75R16,243535, TRANSWAY 3+,9443.0,9443.0
LASSA,YAZ,215/75R16,243826,TRANSWAY,9263.0,9263.0
LASSA,YAZ,215/75R16,243439,TRANSWAY A/T,9510.0,9510.0
LASSA,4 MEVSIM,215/75R16,243383,MULTIWAYS-C 2,9832.0,9832.0
LASSA,4 MEVSIM,215/75R16,243362,MULTIWAYS-C 2,10029.0,10029.0
LASSA,YAZ,205/75R16,243823,TRANSWAY,8962.0,8962.0
LASSA,YAZ,205/75R16,243744,TRANSWAY 3,9227.0,9227.0
LASSA,YAZ,205/75R16,243502,TRANSWAY A/T,9369.0,9369.0
LASSA,4 MEVSIM,205/75R16,243382,MULTIWAYS-C 2,9522.0,9522.0
LASSA,4 MEVSIM,205/75R16,243357,MULTIWAYS-C 2,9522.0,9522.0
LASSA,YAZ,195/75R16,243707,TRANSWAY 2,7943.0,7943.0
LASSA,YAZ,195/75R16,243643,TRANSWAY,7943.0,7943.0
LASSA,YAZ,195/75R16,243742,TRANSWAY 3,8101.0,8101.0
LASSA,4 MEVSIM,195/75R16,242381,MULTIWAYS-C 2,8518.0,8518.0
LASSA,4 MEVSIM,195/75R16,242354,MULTIWAYS-C 2,8684.0,8684.0
LASSA,YAZ,185/75R16,243750,TRANSWAY 3,8456.0,8456.0
LASSA,YAZ,185/75R16,243501,TRANSWAY A/T,8617.0,8617.0
LASSA,4 MEVSIM,185/75R16,242350,MULTIWAYS-C 2,8983.0,8983.0
LASSA,YAZ,175/75R16,243816,TRANSWAY,8822.0,8822.0
LASSA,4 MEVSIM,175/75R16,243391,MULTIWAYS-C,9151.0,9151.0
LASSA,YAZ,215/65R15,243746,TRANSWAY 3,10716.0,10716.0
LASSA,4 MEVSIM,215/65R15,243358,MULTIWAYS-C 2,9830.0,9830.0
LASSA,YAZ,205/65R15,242996,TRANSWAY 2,9269.0,9269.0
LASSA,YAZ,205/65R15,242822,TRANSWAY,9269.0,9269.0
LASSA,4 MEVSIM,205/65R15,242397,MULTIWAYS-C,9650.0,9650.0
LASSA,YAZ,205/70R15,243804,TRANSWAY 3,9042.0,9042.0
LASSA,YAZ,225/70R15,242698,TRANSWAY 2,8593.0,8593.0
LASSA,YAZ,225/70R15,242542,TRANSWAY,8593.0,8593.0
LASSA,YAZ,225/70R15,243755,TRANSWAY 3,8901.0,8901.0
LASSA,YAZ,225/70R15,242500,TRANSWAY A/T,8686.0,8686.0
LASSA,4 MEVSIM,225/70R15,242384,MULTIWAYS-C 2,9069.0,9069.0
LASSA,4 MEVSIM,225/70R15,242365,MULTIWAYS-C 2,9386.0,9386.0
LASSA,YAZ,215/70R15,243806,TRANSWAY 3,10420.0,10420.0
LASSA,4 MEVSIM,215/70R15,243378,MULTIWAYS-C 2,10844.0,10844.0
LASSA,YAZ,195/70R15,243802,TRANSWAY 3,7457.0,7457.0
LASSA,4 MEVSIM,195/70R15,242353,MULTIWAYS-C 2,7674.0,7674.0
LASSA,YAZ,175/65R14,242691,TRANSWAY 2,5523.0,5523.0
LASSA,YAZ,165/70R14,242520,TRANSWAY 2,6767.0,6767.0
LASSA,YAZ,175/75R14,242694,TRANSWAY 2,7112.0,7112.0
LASSA,YAZ,195R15,242254,TRANSWAY,7632.0,7632.0
LASSA,YAZ,195R14,243803,TRANSWAY 3,6610.0,6610.0
LASSA,4 MEVSIM,195R14,242355,MULTIWAYS-C 2,6860.0,6860.0
LASSA,YAZ,185R14,243778,TRANSWAY 3,6051.0,6051.0
LASSA,4 MEVSIM,185R14,242351,MULTIWAYS-C 2,6312.0,6312.0
LASSA,YAZ,165R13,242142,LC/R,5181.0,5181.0
LASSA,YAZ,155R13,242132,LC/R,4592.0,4592.0
LASSA,YAZ,155R12,242051,LC/R,4078.0,4078.0
BRIDGESTONE,YAZ,315/30R22,519687,TURANZA 6,28715.0,28715.0
BRIDGESTONE,YAZ,325/35R22,572981,POTENZA SPORT,32671.0,32671.0
BRIDGESTONE,YAZ,295/35R22,519686,POTENZA SPORT,26879.0,26879.0
BRIDGESTONE,YAZ,285/35R22,511163,POTENZA SPORT,30159.0,30159.0
BRIDGESTONE,YAZ,275/35R22,519873,TURANZA 6,23865.0,23865.0
BRIDGESTONE,YAZ,285/40R22,517812,POTENZA SPORT,34885.0,34885.0
BRIDGESTONE,YAZ,265/40R22,511190,POTENZA SPORT,25736.0,25736.0
BRIDGESTONE,YAZ,255/40R22,519685,POTENZA SPORT,24039.0,24039.0
BRIDGESTONE,YAZ,325/30R21,511241,POTENZA SPORT,28548.0,28548.0
BRIDGESTONE,YAZ,315/30R21,519824,TURANZA 6,34885.0,34885.0
BRIDGESTONE,YAZ,285/30R21,511180,POTENZA SPORT,26784.0,26784.0
BRIDGESTONE,YAZ,275/30R21,511097,POTENZA SPORT,29713.0,29713.0
BRIDGESTONE,YAZ,285/35R21,519987,TURANZA 6,26324.0,26324.0
BRIDGESTONE,YAZ,285/35R21,511199,POTENZA SPORT,26844.0,26844.0
BRIDGESTONE,YAZ,275/35R21,511198,POTENZA SPORT,25897.0,25897.0
BRIDGESTONE,YAZ,265/35R21,511092,POTENZA SPORT,25543.0,25543.0
BRIDGESTONE,YAZ,255/35R21,519820,TURANZA 6,23154.0,23154.0
BRIDGESTONE,YAZ,245/35R21,511048,POTENZA SPORT,22680.0,22680.0
BRIDGESTONE,YAZ,315/40R21,519683,TURANZA 6,25176.0,25176.0
BRIDGESTONE,YAZ,295/40R21,519678,POTENZA SPORT,27995.0,27995.0
BRIDGESTONE,YAZ,255/40R21,519986,TURANZA 6,26433.0,26433.0
BRIDGESTONE,YAZ,245/40R21,519823,TURANZA 6,23897.0,23897.0
BRIDGESTONE,YAZ,285/45R21,519885,TURANZA 6,29123.0,29123.0
BRIDGESTONE,YAZ,255/45R21,571767,POTENZA SPORT,26093.0,26093.0
BRIDGESTONE,YAZ,255/50R21,511239,ALENZA 001,18635.0,18635.0
BRIDGESTONE,YAZ,235/50R21,514810,ALENZA 001,24524.0,24524.0
BRIDGESTONE,YAZ,305/30R20,511167,POTENZA SPORT,24295.0,24295.0
BRIDGESTONE,YAZ,295/30R20,511047,POTENZA SPORT,22881.0,22881.0
BRIDGESTONE,YAZ,285/30R20,511179,POTENZA SPORT,21374.0,21374.0
BRIDGESTONE,YAZ,275/30R20,511096,POTENZA SPORT,22201.0,22201.0
BRIDGESTONE,YAZ,275/30R20,519694,RE050A RFT,27371.0,27371.0
BRIDGESTONE,YAZ,265/30R20,511196,POTENZA SPORT,20972.0,20972.0
BRIDGESTONE,YAZ,255/30R20,511067,POTENZA SPORT,23202.0,23202.0
BRIDGESTONE,YAZ,255/30R20,511544,T005 RFT,26832.0,26832.0
BRIDGESTONE,YAZ,245/30R20,511173,POTENZA SPORT,19856.0,19856.0
BRIDGESTONE,YAZ,295/35R20,511046,POTENZA SPORT,24425.0,24425.0
BRIDGESTONE,YAZ,295/35R20,519047,S007,23507.0,23507.0
BRIDGESTONE,YAZ,285/35R20,511069,POTENZA SPORT,21374.0,21374.0
BRIDGESTONE,YAZ,285/35R20,511546,T005 EXT,25754.0,25754.0
BRIDGESTONE,YAZ,275/35R20,511177,POTENZA SPORT,20096.0,20096.0
BRIDGESTONE,YAZ,275/35R20,519223,S001 RFT,24133.0,24133.0
BRIDGESTONE,YAZ,265/35R20,511068,POTENZA SPORT,23012.0,23012.0
BRIDGESTONE,YAZ,255/35R20,511075,POTENZA SPORT,18263.0,18263.0
BRIDGESTONE,YAZ,245/35R20,511066,POTENZA SPORT,19458.0,19458.0
BRIDGESTONE,YAZ,245/35R20,519035,S007,19074.0,19074.0
BRIDGESTONE,YAZ,245/35R20,519693,RE050A RFT,22540.0,22540.0
BRIDGESTONE,YAZ,225/35R20,511539,T005 RFT,21427.0,21427.0
BRIDGESTONE,YAZ,285/40R20,511396,TURANZA 6,21850.0,21850.0
BRIDGESTONE,YAZ,265/40R20,511176,POTENZA SPORT,23833.0,23833.0
BRIDGESTONE,YAZ,255/40R20,511175,POTENZA SPORT,22201.0,22201.0
BRIDGESTONE,YAZ,255/40R20,519048,S007,19853.0,19853.0
BRIDGESTONE,YAZ,255/40R20,511545,T005 EXT,27387.0,27387.0
BRIDGESTONE,YAZ,255/40R20,545140,T005,22772.0,22772.0
BRIDGESTONE,YAZ,245/40R20,511045,POTENZA SPORT,24016.0,24016.0
BRIDGESTONE,YAZ,245/40R20,519091,S001,23457.0,23457.0
BRIDGESTONE,YAZ,245/40R20,519222,S001 RFT,27347.0,27347.0
BRIDGESTONE,YAZ,255/45R20,511395,TURANZA 6,24158.0,24158.0
BRIDGESTONE,YAZ,245/45R20,519970,TURANZA 6,18323.0,18323.0
BRIDGESTONE,4 MEVSIM,245/45R20,519875,TURANZA ALL SEASON 6,19412.0,19412.0
BRIDGESTONE,YAZ,215/45R20,519259,S001,25484.0,25484.0
BRIDGESTONE,4 MEVSIM,215/45R20,519878,TURANZA ALL SEASON 6,25950.0,25950.0
BRIDGESTONE,YAZ,195/50R20,511521,EP500,23108.0,23108.0
BRIDGESTONE,YAZ,195/50R20,519258,S001,23808.0,23808.0
BRIDGESTONE,YAZ,175/55R20,519079,EP500,16738.0,16738.0
BRIDGESTONE,YAZ,175/55R20,511520,EP500,17420.0,17420.0
BRIDGESTONE,YAZ,155/60R20,519083,EP500,13010.0,13010.0
BRIDGESTONE,YAZ,305/30R19,511064,POTENZA SPORT,22606.0,22606.0
BRIDGESTONE,YAZ,295/30R19,511182,POTENZA SPORT,22929.0,22929.0
BRIDGESTONE,YAZ,285/30R19,511178,POTENZA SPORT,22387.0,22387.0
BRIDGESTONE,YAZ,275/30R19,511095,POTENZA SPORT,19372.0,19372.0
BRIDGESTONE,YAZ,265/30R19,511090,POTENZA SPORT,19770.0,19770.0
BRIDGESTONE,YAZ,255/30R19,511087,POTENZA SPORT,18079.0,18079.0
