Pager usage is off.
Timing is off.

################ SECTION A — TABLE INVENTORY (ad + tahmini satir) ################
                  table_name                   | approx_rows 
 response_answers                              |           0
 responses                                     |           0
 roadmap_items                                 |           0
 roadmap_phases                                |           0
 root_cause_types                              |           0
 saha_bildirim_ayar                            |           0
 saha_cari_cache                               |       39140
 saha_denetim                                  |          20
 saha_dosya                                    |           0
 saha_duyuru                                   |           0
 saha_duyuru_ek                                |           0
 saha_duyuru_okundu                            |           2
 saha_duyuru_yorum                             |           0
 saha_eslestirme_oneri                         |           0
 saha_giden_eposta                             |           0
 saha_hata_log                                 |          69
 saha_iskonto_ayar                             |           0
 saha_iskonto_kural                            |           0
 saha_iskonto_talep                            |           0
 saha_kimlik_duzeltme                          |           0
 saha_konusma                                  |           0
 saha_konusma_mesaj                            |           0
 saha_konusma_okundu                           |           0
 saha_musteri                                  |          23
 saha_musteri_aksiyon                          |           0
 saha_musteri_lokasyon                         |           0
 saha_musteri_tedarikci_destek                 |           0
 saha_musteri_tedarikci_destek_log             |           0
 saha_oneri                                    |           2
 saha_oneri_ayar                               |           0
 saha_oneri_mesaj                              |           7
 saha_oneri_okuma                              |           4
 saha_rakip_teklif                             |           3
 saha_rapor_gunluk_log                         |           2
 saha_rep_aktivite                             |        5543
 saha_rep_baslangic                            |           0
 saha_rep_conversations                        |           6
 saha_rep_gelisim                              |           7
 saha_rep_gunluk_baslangic                     |          12
 saha_rep_icgoru_tepki                         |           0
 saha_rep_not                                  |         255
 saha_rep_ozellik                              |         777
 saha_rep_profil                               |           0
 saha_rep_sehir                                |           0
 saha_rep_yonetici_notu                        |           0
 saha_rota_log                                 |           0
 saha_satis_skor                               |       39106
 saha_sinyal                                   |         903
 saha_teklif                                   |           0
 saha_teklif_kalem                             |           0
 saha_teklif_log                               |           0
 saha_wa_oturum                                |           0
 saha_ziyaret                                  |          78
 saha_ziyaret_foto                             |           7
 saha_ziyaret_gorulme                          |         915
 saha_ziyaret_katilimci                        |           0
 saha_ziyaret_mukerrer_yedek                   |           0
 saha_ziyaret_silinen                          |           0
 saha_ziyaret_tasima_log                       |           0
 saha_ziyaret_yedek_ugur_fix                   |           0
 saha_ziyaret_yorum                            |           4
 sap_musteri_sahiplik                          |           0
 sap_rep_musteri                               |           0
 sap_sahiplik_haric                            |           0
 security_audit_log                            |           0
 security_events                               |           0
 stakeholder_groups                            |           7
 stakeholder_roles                             |          20
 stakeholder_types                             |           0
 survey_assignments                            |           0
 survey_response_sessions                      |           0
 survey_templates                              |           0
 system_error_logs                             |           0
 tenant_department                             |           0
 tenant_department_membership                  |           0
 tenant_subscriptions                          |           0
 tenant_user_modules                           |          26
 tenant_users                                  |           0
 tenant_yetki_log                              |          17
 tr_ilce_ref                                   |           0
 user_invitations                              |           0
 user_sessions                                 |         939
 users                                         |          26
 yedek_eslestirme                              |           0
 yedek_il_ilce                                 |           0
 yedek_lokasyon                                |           0
 yedek_musteri                                 |           0
 yedek_para_birimi                             |           0
 yedek_rakip_segment                           |           0
 yedek_rakip_teklif                            |           0
 yedek_sehirler                                |           0
 yedek_teklif                                  |           0
 yedek_ziyaret                                 |           0
 yedek_ziyaret_foto                            |           0


################ SECTION B — COLUMN DEFINITIONS ################
# platform_*, tenant_*, users/user_invitations + kurate BI/saha tablolari
          table_name          | pos |       column_name       |        data_type         | is_nullable |                                      column_default                                       
------------------------------+-----+-------------------------+--------------------------+-------------+-------------------------------------------------------------------------------------------
 bi_icgoru                    |   1 | id                      | uuid                     | NO          | gen_random_uuid()
 bi_icgoru                    |   2 | tenant_id               | uuid                     | YES         | 
 bi_icgoru                    |   3 | bolum                   | text                     | YES         | 
 bi_icgoru                    |   4 | tip                     | text                     | YES         | 
 bi_icgoru                    |   5 | ozet                    | text                     | YES         | 
 bi_icgoru                    |   6 | kanit                   | jsonb                    | YES         | 
 bi_icgoru                    |   7 | surpriz_skoru           | numeric                  | YES         | 
 bi_icgoru                    |   8 | guven                   | text                     | YES         | 
 bi_icgoru                    |   9 | durum                   | text                     | YES         | 'yeni'::text
 bi_icgoru                    |  10 | ts                      | timestamp with time zone | YES         | now()
 bi_icgoru                    |  11 | anlati                  | text                     | YES         | 
 bi_icgoru                    |  12 | oneri                   | text                     | YES         | 
 bi_icgoru                    |  13 | kaynak                  | text                     | YES         | 
 bi_icgoru                    |  14 | anlati_at               | timestamp with time zone | YES         | 
 bi_insa_gunlugu              |   1 | id                      | uuid                     | NO          | gen_random_uuid()
 bi_insa_gunlugu              |   2 | ts                      | timestamp with time zone | YES         | now()
 bi_insa_gunlugu              |   3 | adim                    | text                     | YES         | 
 bi_insa_gunlugu              |   4 | ne                      | text                     | YES         | 
 bi_insa_gunlugu              |   5 | neden                   | text                     | YES         | 
 bi_insa_gunlugu              |   6 | detay                   | jsonb                    | YES         | '{}'::jsonb
 bi_marj_atom                 |   1 | tenant_id               | uuid                     | NO          | 
 bi_marj_atom                 |   2 | kalem_kodu              | text                     | NO          | 
 bi_marj_atom                 |   3 | ay                      | date                     | NO          | 
 bi_marj_atom                 |   4 | marka                   | text                     | YES         | 
 bi_marj_atom                 |   5 | ebat                    | text                     | YES         | 
 bi_marj_atom                 |   6 | kategori                | text                     | YES         | 
 bi_marj_atom                 |   7 | adet                    | numeric                  | YES         | 
 bi_marj_atom                 |   8 | ciro                    | numeric                  | YES         | 
 bi_marj_atom                 |   9 | ort_fiyat               | numeric                  | YES         | 
 bi_marj_atom                 |  10 | birim_maliyet           | numeric                  | YES         | 
 bi_marj_atom                 |  11 | maliyet_kaynak          | text                     | YES         | 
 bi_marj_atom                 |  12 | brut_kar                | numeric                  | YES         | 
 bi_marj_atom                 |  13 | marj_pct                | numeric                  | YES         | 
 bi_marj_atom                 |  14 | hesaplanma_at           | timestamp with time zone | YES         | now()
 bi_marj_atom                 |  15 | tesvik_kesin_pct        | numeric                  | YES         | 
 bi_marj_atom                 |  16 | tesvik_max_pct          | numeric                  | YES         | 
 bi_marj_atom                 |  17 | kesin_net_kar           | numeric                  | YES         | 
 bi_marj_atom                 |  18 | kesin_net_marj_pct      | numeric                  | YES         | 
 bi_marj_atom                 |  19 | pot_net_marj_pct        | numeric                  | YES         | 
 bi_marj_atom                 |  20 | tesvik_kaynak           | text                     | YES         | 
 bi_marj_atom                 |  21 | birim_maliyet_kanon     | numeric                  | YES         | 
 bi_marj_atom                 |  22 | marj_pct_kanon          | numeric                  | YES         | 
 bi_marj_atom                 |  23 | kanon_kapsam            | numeric                  | YES         | 
 bi_marj_fact                 |   1 | tenant_id               | text                     | YES         | 
 bi_marj_fact                 |   2 | ay                      | date                     | YES         | 
 bi_marj_fact                 |   3 | sube                    | text                     | YES         | 
 bi_marj_fact                 |   4 | satis_kanali            | text                     | YES         | 
 bi_marj_fact                 |   5 | sehir                   | text                     | YES         | 
 bi_marj_fact                 |   6 | satis_temsilcisi        | text                     | YES         | 
 bi_marj_fact                 |   7 | marka                   | text                     | YES         | 
 bi_marj_fact                 |   8 | ebat                    | text                     | YES         | 
 bi_marj_fact                 |   9 | ebat_norm               | text                     | YES         | 
 bi_marj_fact                 |  10 | kategori                | text                     | YES         | 
 bi_marj_fact                 |  11 | jant_capi               | text                     | YES         | 
 bi_marj_fact                 |  12 | musteri_kodu            | text                     | YES         | 
 bi_marj_fact                 |  13 | musteri_adi             | text                     | YES         | 
 bi_marj_fact                 |  14 | kalem_kodu              | text                     | YES         | 
 bi_marj_fact                 |  15 | kalem_tanimi            | text                     | YES         | 
 bi_marj_fact                 |  16 | adet                    | numeric                  | YES         | 
 bi_marj_fact                 |  17 | ciro                    | numeric                  | YES         | 
 bi_marj_fact                 |  18 | ort_fiyat               | numeric                  | YES         | 
 bi_marj_fact                 |  19 | birim_maliyet           | numeric                  | YES         | 
 bi_marj_fact                 |  20 | maliyet_kaynak          | text                     | YES         | 
 bi_marj_fact                 |  21 | smm                     | numeric                  | YES         | 
 bi_marj_fact                 |  22 | brut_kar                | numeric                  | YES         | 
 bi_marj_fact                 |  23 | marj_pct                | numeric                  | YES         | 
 bi_metrik_gecmis             |   1 | id                      | uuid                     | NO          | gen_random_uuid()
 bi_metrik_gecmis             |   2 | tenant_id               | uuid                     | NO          | 
 bi_metrik_gecmis             |   3 | metrik                  | text                     | NO          | 
 bi_metrik_gecmis             |   4 | periyot                 | text                     | NO          | 
 bi_metrik_gecmis             |   5 | donem                   | date                     | NO          | 
 bi_metrik_gecmis             |   6 | deger                   | numeric                  | NO          | 
 bi_metrik_gecmis             |   7 | birim                   | text                     | YES         | 
 bi_metrik_gecmis             |   8 | guven                   | text                     | NO          | 'kesin'::text
 bi_metrik_gecmis             |   9 | kaynak                  | text                     | YES         | 
 bi_metrik_gecmis             |  10 | kaynak_export_date      | date                     | YES         | 
 bi_metrik_gecmis             |  11 | meta                    | jsonb                    | YES         | '{}'::jsonb
 bi_metrik_gecmis             |  12 | hesaplanma_at           | timestamp with time zone | YES         | now()
 bi_metrik_gecmis             |  13 | boyut_tipi              | text                     | NO          | 'sirket'::text
 bi_metrik_gecmis             |  14 | boyut_deger             | text                     | NO          | ''::text
 bi_musteri_risk              |   1 | id                      | uuid                     | NO          | gen_random_uuid()
 bi_musteri_risk              |   2 | tenant_id               | uuid                     | NO          | 
 bi_musteri_risk              |   3 | export_date             | date                     | NO          | CURRENT_DATE
 bi_musteri_risk              |   4 | ingested_at             | timestamp with time zone | NO          | now()
 bi_musteri_risk              |   5 | muhatap_kodu            | text                     | NO          | 
 bi_musteri_risk              |   6 | muhatap_adi             | text                     | YES         | 
 bi_musteri_risk              |   7 | vergi_no                | text                     | YES         | 
 bi_musteri_risk              |   8 | vergi_dairesi           | text                     | YES         | 
 bi_musteri_risk              |   9 | grup                    | text                     | YES         | 
 bi_musteri_risk              |  10 | musteri_mi              | boolean                  | NO          | true
 bi_musteri_risk              |  11 | odeme_kosulu            | text                     | YES         | 
 bi_musteri_risk              |  12 | satis_calisani          | text                     | YES         | 
 bi_musteri_risk              |  13 | kredi_limiti            | numeric                  | YES         | 
 bi_musteri_risk              |  14 | toplam_risk             | numeric                  | YES         | 
 bi_musteri_risk              |  15 | vadesi_gecmis           | numeric                  | YES         | 
 bi_musteri_risk              |  16 | limit_asimi             | numeric                  | YES         | 
 bi_musteri_risk              |  17 | hesap_bakiyesi          | numeric                  | YES         | 
 bi_musteri_risk              |  18 | cek_senet_riski         | numeric                  | YES         | 
 bi_musteri_risk              |  19 | kullanilabilir_limit    | numeric                  | YES         | 
 bi_musteri_risk              |  20 | taahhut_limiti          | numeric                  | YES         | 
 bi_musteri_risk              |  21 | dbs_limit               | numeric                  | YES         | 
 bi_musteri_risk              |  22 | odenmemis_cekler        | numeric                  | YES         | 
 bi_musteri_risk              |  23 | odenmemis_senetler      | numeric                  | YES         | 
 bi_musteri_risk              |  24 | bekleyen_siparis        | numeric                  | YES         | 
 bi_musteri_risk              |  25 | ciro_2019               | numeric                  | YES         | 
 bi_musteri_risk              |  26 | ciro_2020               | numeric                  | YES         | 
 bi_musteri_risk              |  27 | ciro_2021               | numeric                  | YES         | 
 bi_satis_faturalari          |   1 | id                      | uuid                     | NO          | gen_random_uuid()
 bi_satis_faturalari          |   2 | tenant_id               | text                     | NO          | 
 bi_satis_faturalari          |   3 | export_date             | date                     | NO          | CURRENT_DATE
 bi_satis_faturalari          |   4 | fatura_tarihi           | date                     | NO          | 
 bi_satis_faturalari          |   5 | fatura_no               | text                     | NO          | 
 bi_satis_faturalari          |   6 | vade_tarihi             | date                     | YES         | 
 bi_satis_faturalari          |   7 | depo_adi                | text                     | YES         | 
 bi_satis_faturalari          |   8 | sube                    | text                     | YES         | 
 bi_satis_faturalari          |   9 | fatura_kesen            | text                     | YES         | 
 bi_satis_faturalari          |  10 | satis_temsilcisi        | text                     | YES         | 
 bi_satis_faturalari          |  11 | musteri_kodu            | text                     | YES         | 
 bi_satis_faturalari          |  12 | musteri_adi             | text                     | YES         | 
 bi_satis_faturalari          |  13 | satis_kanali            | text                     | YES         | 
 bi_satis_faturalari          |  14 | sehir                   | text                     | YES         | 
 bi_satis_faturalari          |  15 | odeme_kosulu            | text                     | YES         | 
 bi_satis_faturalari          |  16 | kalem_kodu              | text                     | YES         | 
 bi_satis_faturalari          |  17 | kalem_tanimi            | text                     | YES         | 
 bi_satis_faturalari          |  18 | grup_adi                | text                     | YES         | 
 bi_satis_faturalari          |  19 | kategori                | text                     | YES         | 
 bi_satis_faturalari          |  20 | kategori2               | text                     | YES         | 
 bi_satis_faturalari          |  21 | kategori3               | text                     | YES         | 
 bi_satis_faturalari          |  22 | ebat                    | text                     | YES         | 
 bi_satis_faturalari          |  23 | jant_capi               | text                     | YES         | 
 bi_satis_faturalari          |  24 | marka                   | text                     | YES         | 
 bi_satis_faturalari          |  25 | miktar                  | numeric                  | YES         | 
 bi_satis_faturalari          |  26 | birim_fiyat             | numeric                  | YES         | 
 bi_satis_faturalari          |  27 | para_birimi             | text                     | YES         | 
 bi_satis_faturalari          |  28 | satir_tutar             | numeric                  | YES         | 
 bi_satis_faturalari          |  29 | vergi_no                | text                     | YES         | 
 bi_satis_faturalari          |  30 | vergi_dairesi           | text                     | YES         | 
 bi_satis_faturalari          |  31 | tc_no                   | text                     | YES         | 
 bi_sinyal_aday               |   1 | tenant_id               | uuid                     | NO          | 
 bi_sinyal_aday               |   2 | parmak                  | text                     | NO          | 
 bi_sinyal_aday               |   3 | aile                    | text                     | YES         | 
 bi_sinyal_aday               |   4 | boyut                   | text                     | YES         | 
 bi_sinyal_aday               |   5 | deger                   | text                     | YES         | 
 bi_sinyal_aday               |   6 | yon                     | text                     | YES         | 
 bi_sinyal_aday               |   7 | ilk_gun                 | date                     | NO          | 
 bi_sinyal_aday               |   8 | son_gun                 | date                     | NO          | 
 bi_sinyal_aday               |   9 | gun_sayisi              | integer                  | NO          | 1
 bi_sinyal_aday               |  10 | gorulme                 | integer                  | NO          | 1
 bi_sinyal_aday               |  11 | son_z                   | numeric                  | YES         | 
 bi_sinyal_aday               |  12 | son_tutar               | numeric                  | YES         | 
 bi_sinyal_aday               |  13 | son_skor                | numeric                  | YES         | 
 bi_sinyal_aday               |  14 | son_detay               | jsonb                    | YES         | 
 bi_sinyal_aday               |  15 | durum                   | text                     | NO          | 'izleniyor'::text
 bi_sinyal_aday               |  16 | guncelleme              | timestamp with time zone | NO          | now()
 bi_stok_durumu               |   1 | id                      | uuid                     | YES         | 
 bi_stok_durumu               |   2 | tenant_id               | uuid                     | YES         | 
 bi_stok_durumu               |   3 | export_date             | date                     | YES         | 
 bi_stok_durumu               |   4 | ingested_at             | timestamp with time zone | YES         | 
 bi_stok_durumu               |   5 | kalem_kodu              | text                     | YES         | 
 bi_stok_durumu               |   6 | kalem_tanimi            | text                     | YES         | 
 bi_stok_durumu               |   7 | grup_adi                | text                     | YES         | 
 bi_stok_durumu               |   8 | kategori                | text                     | YES         | 
 bi_stok_durumu               |   9 | marka                   | text                     | YES         | 
 bi_stok_durumu               |  10 | depo                    | text                     | YES         | 
 bi_stok_durumu               |  11 | eldeki_miktar           | numeric                  | YES         | 
 bi_stok_durumu               |  12 | siparis_miktar          | numeric                  | YES         | 
 bi_stok_durumu               |  13 | min_stok                | numeric                  | YES         | 
 bi_stok_durumu               |  14 | birim_maliyet           | numeric                  | YES         | 
 bi_stok_durumu               |  15 | toplam_deger            | numeric                  | YES         | 
 bi_tahsilat                  |   1 | tenant_id               | uuid                     | NO          | 
 bi_tahsilat                  |   2 | muhatap_kodu            | text                     | YES         | 
 bi_tahsilat                  |   3 | muhatap_adi             | text                     | YES         | 
 bi_tahsilat                  |   4 | grup                    | text                     | YES         | 
 bi_tahsilat                  |   5 | satis_calisani          | text                     | YES         | 
 bi_tahsilat                  |   6 | tahsilat_adedi          | integer                  | YES         | 
 bi_tahsilat                  |   7 | toplam_tahsilat         | numeric                  | YES         | 
 bi_tahsilat                  |   8 | ort_tahsilat_suresi     | numeric                  | YES         | 
 bi_tahsilat                  |   9 | ort_gecikme_gun         | numeric                  | YES         | 
 bi_tahsilat                  |  10 | gec_odeme_orani         | numeric                  | YES         | 
 bi_tahsilat                  |  11 | son12_adedi             | integer                  | YES         | 
 bi_tahsilat                  |  12 | son12_tutar             | numeric                  | YES         | 
 bi_tahsilat                  |  13 | son12_suresi            | numeric                  | YES         | 
 bi_tahsilat                  |  14 | son12_gecikme_gun       | numeric                  | YES         | 
 bi_tahsilat                  |  15 | son12_gec_orani         | numeric                  | YES         | 
 bi_tahsilat                  |  16 | son_tahsilat_tarihi     | date                     | YES         | 
 bi_tahsilat                  |  17 | musteri_mi              | boolean                  | YES         | 
 bi_tahsilat                  |  18 | export_date             | date                     | YES         | CURRENT_DATE
 bi_tedarikci_faturalari      |   1 | id                      | uuid                     | NO          | gen_random_uuid()
 bi_tedarikci_faturalari      |   2 | tenant_id               | uuid                     | NO          | 
 bi_tedarikci_faturalari      |   3 | export_date             | date                     | NO          | CURRENT_DATE
 bi_tedarikci_faturalari      |   4 | ingested_at             | timestamp with time zone | NO          | now()
 bi_tedarikci_faturalari      |   5 | fatura_tarihi           | date                     | YES         | 
 bi_tedarikci_faturalari      |   6 | fatura_no               | text                     | YES         | 
 bi_tedarikci_faturalari      |   7 | tedarikci_fatura_no     | text                     | YES         | 
 bi_tedarikci_faturalari      |   8 | satin_alma_siparis_no   | text                     | YES         | 
 bi_tedarikci_faturalari      |   9 | sube                    | text                     | YES         | 
 bi_tedarikci_faturalari      |  10 | tedarikci_kodu          | text                     | YES         | 
 bi_tedarikci_faturalari      |  11 | tedarikci_adi           | text                     | YES         | 
 bi_tedarikci_faturalari      |  12 | kalem_kodu              | text                     | YES         | 
 bi_tedarikci_faturalari      |  13 | grup_adi                | text                     | YES         | 
 bi_tedarikci_faturalari      |  14 | kategori                | text                     | YES         | 
 bi_tedarikci_faturalari      |  15 | jant_capi               | text                     | YES         | 
 bi_tedarikci_faturalari      |  16 | marka                   | text                     | YES         | 
 bi_tedarikci_faturalari      |  17 | kalem_tanimi            | text                     | YES         | 
 bi_tedarikci_faturalari      |  18 | miktar                  | numeric                  | YES         | 
 bi_tedarikci_faturalari      |  19 | birim_fiyat_kdv_haric   | numeric                  | YES         | 
 bi_tedarikci_faturalari      |  20 | birim_fiyat_kdv_dahil   | numeric                  | YES         | 
 bi_tedarikci_faturalari      |  21 | satir_kdv_haric         | numeric                  | YES         | 
 bi_tedarikci_faturalari      |  22 | satir_kdv_dahil         | numeric                  | YES         | 
 bi_tedarikci_faturalari      |  23 | vade_turu               | text                     | YES         | 
 bi_tedarikci_faturalari      |  24 | vade_gun                | integer                  | YES         | 
 bi_tedarikci_faturalari      |  25 | vade_tarihi             | date                     | YES         | 
 bi_tedarikci_faturalari      |  26 | odeme_tarihi            | date                     | YES         | 
 bi_tedarikci_faturalari      |  27 | odeme_durumu            | text                     | YES         | 
 bi_tedarikci_faturalari      |  28 | kdv_orani               | numeric                  | YES         | 
 bi_tedarikci_faturalari      |  29 | kdv_tutari              | numeric                  | YES         | 
 bi_tedarikci_faturalari      |  30 | satir_iskonto_pct       | numeric                  | YES         | 
 bi_tedarikci_faturalari      |  31 | liste_birim_fiyat       | numeric                  | YES         | 
 bi_yetenek                   |   1 | id                      | uuid                     | NO          | gen_random_uuid()
 bi_yetenek                   |   2 | ad                      | text                     | YES         | 
 bi_yetenek                   |   3 | tur                     | text                     | YES         | 
 bi_yetenek                   |   4 | ne_ise_yarar            | text                     | YES         | 
 bi_yetenek                   |   5 | nasil                   | text                     | YES         | 
 bi_yetenek                   |   6 | cekmece                 | text                     | YES         | 
 bi_yetenek                   |   7 | durum                   | text                     | YES         | 'tanimsiz'::text
 bi_yetenek                   |   8 | guven                   | text                     | YES         | 
 bi_yetenek                   |   9 | kanit                   | jsonb                    | YES         | 
 bi_yetenek                   |  10 | aktif                   | boolean                  | YES         | true
 bi_yetenek                   |  11 | onaylayan               | text                     | YES         | 
 bi_yetenek                   |  12 | eklendi_at              | timestamp with time zone | YES         | now()
 bi_yetenek                   |  13 | guncellendi_at          | timestamp with time zone | YES         | now()
 bi_yetenek                   |  14 | parmak_izi              | text                     | YES         | 
 bi_yetenek                   |  15 | son_gorulme             | timestamp with time zone | YES         | 
 platform_feedback            |   1 | id                      | uuid                     | NO          | gen_random_uuid()
 platform_feedback            |   2 | user_id                 | uuid                     | NO          | 
 platform_feedback            |   3 | user_email              | text                     | NO          | 
 platform_feedback            |   4 | user_name               | text                     | YES         | 
 platform_feedback            |   5 | message                 | text                     | NO          | 
 platform_feedback            |   6 | created_at              | timestamp with time zone | NO          | now()
 platform_glossary            |   1 | id                      | uuid                     | NO          | gen_random_uuid()
 platform_glossary            |   2 | key                     | text                     | NO          | 
 platform_glossary            |   3 | term                    | text                     | NO          | 
 platform_glossary            |   4 | term_tr                 | text                     | YES         | 
 platform_glossary            |   5 | definition              | text                     | NO          | 
 platform_glossary            |   6 | calculation             | text                     | YES         | 
 platform_glossary            |   7 | interpretation          | text                     | YES         | 
 platform_glossary            |   8 | example                 | text                     | YES         | 
 platform_glossary            |   9 | category                | text                     | NO          | 
 platform_glossary            |  10 | context                 | ARRAY                    | YES         | 
 platform_glossary            |  11 | sort_order              | integer                  | YES         | 0
 platform_glossary            |  12 | is_active               | boolean                  | YES         | true
 platform_glossary            |  13 | created_at              | timestamp with time zone | YES         | now()
 platform_glossary            |  14 | updated_at              | timestamp with time zone | YES         | now()
 platform_modules             |   1 | id                      | text                     | NO          | 
